Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned,
2023-03-16,Albert George,Brian Wagner,Nissan,Silverado,2019,44162,0.12818840719811264,5661.06,
2022-12-10,Albert George,Brandon Walker,Toyota,Corolla,2018,20474,0.10481829331450856,2146.05,
2023-02-20,Albert George,Barbara Sanchez,Ford,F-150,2011,12386,0.1459379134991083,1807.59,
2022-12-17,Albert George,Stephen Russell,Toyota,Silverado,2013,15980,0.146767613,2345.35,
2023-03-13,Albert George,James Turner,Nissan,F-150,2016,10872,0.1095469040717344,1190.99,
2022-09-01,Albert George,Paul Pham,Honda,Altima,2022,48674,0.10148011892528702,4939.44,
2022-09-29,Albert George,Gabriel Anderson,Nissan,Civic,2021,45192,0.061448178,2776.97,
2022-09-03,Albert George,Sabrina Williams,Toyota,Corolla,2012,28564,0.061851656927740986,1766.73,
2022-06-06,Albert George,Jacqueline Ortiz,Ford,Civic,2022,15157,0.12192763940758194,1848.06,
2022-08-17,Albert George,Jason Hernandez,Toyota,F-150,2010,18895,0.061012213549905984,1152.83,
2022-07-14,Albert George,Claire Day,Nissan,F-150,2018,30296,0.10017036341635777,3034.76,
2022-06-07,Albert George,Jeffrey Cameron,Ford,Silverado,2012,42964,0.14165175499816263,6085.93,
2022-12-02,Albert George,Rachel Estrada,Toyota,Corolla,2013,15025,0.13216584861215674,1985.79,
2023-01-24,Albert George,Kevin Harrison,Ford,F-150,2018,29655,0.08215267,2436.24,
2022-09-25,Albert George,Ashley Benton,Toyota,F-150,2011,30248,0.065154038,1970.78,
2023-04-25,Albert George,Kyle Hill,Honda,Corolla,2017,46250,0.11009408272386537,5091.85,
2022-08-23,Albert George,Taylor Moore,Nissan,Silverado,2018,18482,0.086185324,1592.88,
2023-01-02,Albert George,Lisa Humphrey,Nissan,Altima,2020,34331,0.13618254512065697,4675.28,
2022-11-29,Albert George,Raymond West,Honda,Corolla,2015,24124,0.10981445130341128,2649.16,
2022-12-12,Albert George,Todd Jordan,Toyota,Corolla,2017,38804,0.055522578,2154.5,
2022-06-20,Albert George,Tiffany Stewart,Ford,Civic,2016,34503,0.10922969529243784,3768.75,
2022-10-18,Albert George,David Garrett,Honda,Silverado,2015,37500,0.10379967169656126,3892.49,
2023-04-06,Albert George,Ashley Moreno DDS,Ford,Civic,2018,16309,0.14992578196198048,2445.14,
2022-08-28,Albert George,Thomas White,Honda,Silverado,2022,37655,0.078801112,2967.26,
2023-04-12,Albert George,Renee Phillips,Toyota,Silverado,2017,30720,0.13069676524140228,4015,
2023-02-20,Albert George,Samuel Duke,Ford,Altima,2017,39332,0.11497401122201684,4522.16,
2023-03-26,Albert George,Alexandra Knapp,Toyota,F-150,2017,38549,0.078654286,3032.04,
2022-05-11,Albert George,Cory Rogers,Honda,F-150,2017,37923,0.091910432,3485.52,
2022-09-07,Albert George,Jacob Stokes,Honda,F-150,2013,48419,0.12701801419045533,6150.09,
2023-02-01,Albert George,Damon Baker,Chevrolet,Civic,2012,28865,0.12431359608419824,3588.31,
2022-05-18,Albert George,Sharon Tapia,Nissan,Civic,2022,21629,0.13536102732694816,2927.72,
2022-12-05,Albert George,William Lynn,Nissan,Civic,2020,45878,0.11767895343737451,5398.88,
2022-10-21,Albert George,Claudia Campbell MD,Nissan,Corolla,2011,26017,0.083391553,2169.6,
2022-11-16,Albert George,Kim Aguilar DDS,Toyota,F-150,2014,44308,0.077016327,3412.44,
2022-06-13,Albert George,Toni Smith,Honda,Silverado,2016,22495,0.12640585991075282,2843.5,
2023-02-08,Albert George,Dennis Cardenas,Toyota,Corolla,2021,29298,0.076405583,2238.53,
2022-05-27,Albert George,Courtney Sullivan,Nissan,Civic,2022,24292,0.14181980469274666,3445.09,
2022-11-12,Albert George,Matthew Larson,Nissan,Altima,2018,41141,0.1313147167865002,5402.42,
2022-05-21,Albert George,Anthony Lopez,Toyota,Corolla,2021,26159,0.14636523003201665,3828.77,
2022-06-12,Albert George,Tyler Lawson,Honda,F-150,2013,41397,0.14278012046202349,5910.67,
2022-09-08,Albert George,Adrian Miller,Chevrolet,Corolla,2022,45561,0.11625434168539232,5296.66,
2023-04-29,Albert George,Sandra Moore,Ford,Civic,2016,33340,0.11453592158660743,3818.63,
2022-09-05,Albert George,Christina Roberts,Ford,Altima,2016,13572,0.069062806,937.32,
2023-01-16,Albert George,John Skinner,Toyota,Corolla,2016,19993,0.05000216,999.69,
2023-01-06,Albert George,Mckenzie Zavala,Ford,Silverado,2020,22648,0.063995444,1449.37,
2023-04-27,Albert George,John Rogers,Nissan,Silverado,2010,15021,0.13624167683502525,2046.49,
2022-12-21,Albert George,Daniel Schmitt,Honda,F-150,2021,15735,0.050976397,802.11,
2022-06-01,Blake Garcia,Seth Horne,Nissan,Silverado,2016,24664,0.12472433714896974,3076.2,
2023-04-29,Blake Garcia,Valerie Salazar,Ford,Altima,2018,48884,0.083590255,4086.23,
2022-08-08,Blake Garcia,Blake Barrera,Ford,Civic,2016,24820,0.10405671897730498,2582.69,
2023-02-15,Blake Garcia,Lynn Villarreal,Honda,Corolla,2015,44250,0.115044401,5090.71,
2022-08-13,Blake Garcia,Joseph James,Honda,F-150,2019,47642,0.11769915205946359,5607.42,
2022-05-31,Blake Garcia,Danielle Mack,Chevrolet,F-150,2012,34172,0.133677318,4568.02,
2023-04-27,Blake Garcia,Darlene Travis,Honda,Altima,2017,38751,0.14361906235263233,5565.38,
2022-07-19,Blake Garcia,Dustin Lopez,Nissan,F-150,2021,23810,0.11701596429874951,2786.15,
2023-04-26,Blake Garcia,Jessica Reid,Chevrolet,Corolla,2015,29817,0.062327834,1858.43,
2022-08-10,Blake Garcia,Ethan Marquez,Chevrolet,Silverado,2020,25433,0.13405704495669718,3409.47,
2022-07-06,Blake Garcia,Mr. James Hill,Chevrolet,Silverado,2018,45657,0.094358445,4308.12,
2022-06-11,Blake Garcia,Kevin Davis,Honda,Civic,2011,31050,0.084945255,2637.55,
2022-07-24,Blake Garcia,Patrick Brady,Honda,Silverado,2016,30295,0.13674817942838985,4142.79,
2022-11-03,Blake Garcia,Maria White,Ford,Civic,2013,34417,0.11863369501682106,4083.02,
2022-12-14,Blake Garcia,Yvonne Harper,Honda,F-150,2015,41135,0.14452985096331153,5945.24,
2023-04-27,Blake Garcia,Anna Owen,Honda,Altima,2017,29381,0.12183789427647544,3579.72,
2022-07-18,Blake Garcia,Jason Hahn,Ford,Altima,2011,23330,0.068980756,1609.32,
2023-01-06,Blake Garcia,Joseph Sutton,Toyota,Corolla,2016,23193,0.12021011669547427,2788.03,
2022-07-01,Blake Garcia,Curtis Leonard,Honda,Civic,2016,42672,0.12313788687913849,5254.54,
2022-05-11,Blake Garcia,Jessica Gilmore,Ford,Corolla,2022,22488,0.066179299,1488.24,
2023-03-23,Blake Garcia,Matthew Peterson,Chevrolet,Civic,2013,14864,0.077744275,1155.59,
2023-04-27,Blake Garcia,Christine Perez,Chevrolet,Silverado,2014,10025,0.059271937,594.2,
2022-10-22,Blake Garcia,Hunter Mccoy,Ford,Civic,2021,42308,0.10350654141929502,4379.15,
2023-04-21,Blake Garcia,Allen Garcia,Chevrolet,F-150,2018,38725,0.14683652373933548,5686.24,
2022-12-12,Blake Garcia,Kevin Aguilar,Chevrolet,F-150,2021,29337,0.1430443420233708,4196.49,
2022-10-25,Blake Garcia,Anthony Peters,Toyota,Corolla,2018,32520,0.13987485978542424,4548.73,
2022-12-10,Blake Garcia,Karen Yang,Honda,Corolla,2021,47114,0.064291339,3029.02,
2022-07-21,Blake Garcia,Nicole Parsons,Chevrolet,Civic,2017,13097,0.10023391145570276,1312.76,
2022-09-12,Blake Garcia,Anne Ferrell,Toyota,Civic,2019,24389,0.095097703,2319.34,
2022-08-11,Cynthia Brown,Sandra Chase,Honda,F-150,2012,29937,0.14360908455315285,4299.23,
2022-10-16,Cynthia Brown,Michelle Mendez,Chevrolet,Silverado,2021,31841,0.11843900903110115,3771.22,
2022-06-09,Cynthia Brown,Dillon Solis,Toyota,Altima,2020,48709,0.089118493,4340.87,
2023-02-23,Cynthia Brown,Amy Burns,Honda,Corolla,2012,25187,0.08328041,2097.58,
2022-09-16,Cynthia Brown,Mrs. Karla Horn,Ford,Corolla,2020,36925,0.1438454073159547,5311.49,
2022-08-20,Cynthia Brown,Zachary Brown,Chevrolet,Civic,2017,11864,0.083191279,986.98,
2022-10-30,Cynthia Brown,Chad Brown,Honda,Silverado,2022,39291,0.08776658,3448.44,
2022-11-09,Cynthia Brown,Joshua Edwards,Ford,Silverado,2012,45611,0.077783199,3547.77,
